GEOID,NAME,TRACTCE,STATEFP,COUNTYFP,GEOIDFQ,NAMELSAD,INTPTLAT,INTPTLON,median_rent,vacancy_rate_rental,median_rooms,renter_share,owner_share,recent_movers_share,overcrowded_share,rent_burden35_share,bed_0_share,bed_1_share,bed_2_share,bed_3_share,bed_4_share,bed_5p_share
11001007304,73.04,7304,11,1,1400000US11001007304,Census Tract 73.04,38.8417979,-76.9855591,1600.0,3.4,4.5,0.7162790697674418,0.2837209302325581,0.02744186046511628,0.0,0.6603896103896104,0.01297016861219196,0.1162991785559879,0.4989191526156507,0.29139645482057935,0.07392996108949416,0.00648508430609598
11001003000,30.0,3000,11,1,1400000US11001003000,Census Tract 30,38.9288689,-77.0299525,1390.0,5.1,3.4,0.7157829839704068,0.2842170160295931,0.17509247842170161,0.11528976572133169,0.42152466367713004,0.17624309392265194,0.2585635359116022,0.3298342541436464,0.14806629834254142,0.03038674033149171,0.0569060773480663
11001007502,75.02,7502,11,1,1400000US11001007502,Census Tract 75.02,38.8568592,-76.9697843,1378.0,9.3,4.6,0.8089473684210526,0.19105263157894736,0.02526315789473684,0.010526315789473684,0.44536652835408025,0.018281535648994516,0.2577696526508227,0.3619744058500914,0.3176416819012797,0.03610603290676417,0.008226691042047532
11001007503,75.03,7503,11,1,1400000US11001007503,Census Tract 75.03,38.8640724,-76.98709,1301.0,11.9,4.3,0.7111111111111111,0.28888888888888886,0.10158730158730159,0.0,0.564945226917058,0.01867572156196944,0.25212224108658743,0.3234295415959253,0.22241086587436332,0.11035653650254669,0.0730050933786078
11001000902,9.02,902,11,1,1400000US11001000902,Census Tract 9.02,38.9285125,-77.1077517,3501.0,0.0,10.0,0.1376470588235294,0.8623529411764705,0.07294117647058823,0.0,0.4857142857142857,0.011402508551881414,0.01596351197263398,0.06157354618015964,0.3409350057012543,0.3090079817559863,0.2611174458380844
11001001500,15.0,1500,11,1,1400000US11001001500,Census Tract 15,38.9741576,-77.0558797,3501.0,0.0,10.0,0.0472972972972973,0.9527027027027027,0.07915057915057915,0.0,0.620253164556962,0.01459188326493388,0.012767897856817145,0.038303693570451436,0.3748290013679891,0.3260373917008664,0.23347013223894209
11001009603,96.03,9603,11,1,1400000US11001009603,Census Tract 96.03,38.8918285,-76.9477195,1160.0,1.5,4.8,0.657748611812216,0.34225138818778394,0.07521453811206462,0.0,0.48580441640378547,0.05828071879553181,0.2797474502185527,0.26857697911607575,0.3322000971345313,0.0611947547353084,0.0
11001000501,5.01,501,11,1,1400000US11001000501,Census Tract 5.01,38.9264548,-77.051434,2339.0,5.2,3.3,0.8783783783783784,0.12162162162162163,0.2490990990990991,0.007207207207207207,0.38441003737319807,0.2137553731926534,0.4017194216490817,0.2606486908948808,0.07033997655334115,0.012895662368112544,0.04064087534193044
11001003302,33.02,3302,11,1,1400000US11001003302,Census Tract 33.02,38.9139237,-77.0111677,1990.0,3.2,4.8,0.45109780439121755,0.5489021956087824,0.21457085828343314,0.0,0.31725888324873097,0.07699619771863118,0.19391634980988592,0.21292775665399238,0.33745247148288976,0.13022813688212928,0.04847908745247148
11001008402,84.02,8402,11,1,1400000US11001008402,Census Tract 84.02,38.898596,-76.991021,1918.0,11.0,3.4,0.5495432185523542,0.45045678144764584,0.2853127196064652,0.011946591707659873,0.17135549872122763,0.15352449223416964,0.4038231780167264,0.17861409796893668,0.15232974910394265,0.0884109916367981,0.023297491039426525
11001009602,96.02,9602,11,1,1400000US11001009602,Census Tract 96.02,38.9035769,-76.9523616,1325.0,1.2,4.2,0.8454993282579489,0.15450067174205107,0.05150022391401702,0.014778325123152709,0.6514103246407663,0.04042553191489362,0.2527659574468085,0.4706382978723404,0.16595744680851063,0.06638297872340425,0.003829787234042553
11001000802,8.02,802,11,1,1400000US11001000802,Census Tract 8.02,38.9126765,-77.0896118,1841.0,2.0,6.5,0.4224965706447188,0.5775034293552812,0.18449931412894377,0.018518518518518517,0.30518234165067176,0.029182879377431907,0.35149156939040205,0.11219195849546044,0.13229571984435798,0.26394293125810636,0.11089494163424124
11001001301,13.01,1301,11,1,1400000US11001001301,Census Tract 13.01,38.9519215,-77.0520508,2101.0,4.2,3.8,0.6880382775119617,0.3119617224880383,0.09904306220095693,0.0,0.437635183850036,0.07199256850905712,0.4853692522062239,0.18950301904319555,0.052020436600092895,0.13190896423594983,0.06920575940548072
11001002001,20.01,2001,11,1,1400000US11001002001,Census Tract 20.01,38.9597034,-77.0351061,1513.0,1.5,3.3,0.6595555555555556,0.34044444444444444,0.1751111111111111,0.30133333333333334,0.39892183288409705,0.19111483654652137,0.3269069572506287,0.24140821458507963,0.06705783738474434,0.07041072925398156,0.10310142497904443
11001007708,77.08,7708,11,1,1400000US11001007708,Census Tract 77.08,38.8871944,-76.9606349,1191.0,0.0,3.4,0.8590078328981723,0.1409921671018277,0.1174934725848564,0.07136640557006092,0.40636474908200737,0.08670520231213873,0.4640792733278282,0.26424442609413706,0.09496284062758051,0.08009909165978531,0.00990916597853014
11001001402,14.02,1402,11,1,1400000US11001001402,Census Tract 14.02,38.9606051,-77.0630933,2057.0,8.8,5.5,0.38331318016928656,0.6166868198307134,0.039298669891172915,0.0,0.2431561996779388,0.13885714285714285,0.21828571428571428,0.1377142857142857,0.22457142857142856,0.2057142857142857,0.07485714285714286
11001004702,47.02,4702,11,1,1400000US11001004702,Census Tract 47.02,38.9008601,-77.0136108,2876.0,9.2,2.4,0.8931095406360424,0.1068904593639576,0.2826855123674912,0.11881625441696113,0.2941470735367684,0.24015904572564611,0.5395626242544732,0.20795228628230616,0.006361829025844931,0.005964214711729622,0.0
11001007601,76.01,7601,11,1,1400000US11001007601,Census Tract 76.01,38.8716327,-76.9798185,1369.0,3.6,4.1,0.6724553786782441,0.32754462132175594,0.10033767486734202,0.015918958031837915,0.3944402704733283,0.046453753629199505,0.26420572376607215,0.3728743260058067,0.22024056408129408,0.06014102032351721,0.03608461219411033
11001007504,75.04,7504,11,1,1400000US11001007504,Census Tract 75.04,38.8609955,-76.9796257,1302.0,1.6,4.1,0.6811808118081181,0.31881918819188193,0.16088560885608857,0.0,0.5795601552393272,0.07243460764587525,0.21797451374916163,0.5150905432595574,0.14755197853789404,0.046948356807511735,0.0
11001009902,99.02,9902,11,1,1400000US11001009902,Census Tract 99.02,38.8717861,-76.9445542,1402.0,5.1,7.0,0.163855421686747,0.8361445783132531,0.12610441767068273,0.0,0.5049019607843137,0.00927357032457496,0.03941267387944358,0.20401854714064915,0.7102009273570324,0.027820710973724884,0.00927357032457496
